method,run,generation,best
BLX_sigma_0.01,0,0,119.28414125849221
BLX_sigma_0.01,0,1,64.32208348299045
BLX_sigma_0.01,0,2,44.335738229138485
BLX_sigma_0.01,0,3,31.109665777110944
BLX_sigma_0.01,0,4,16.841089200775432
BLX_sigma_0.01,0,5,7.206865464646306
BLX_sigma_0.01,0,6,5.659201985149351
BLX_sigma_0.01,0,7,3.51515024985006
BLX_sigma_0.01,0,8,2.2188546539838825
BLX_sigma_0.01,0,9,1.3277702456012812
BLX_sigma_0.01,0,10,1.3277702456012812
BLX_sigma_0.01,0,11,1.2109607732106011
BLX_sigma_0.01,0,12,1.1168081543696133
BLX_sigma_0.01,0,13,1.1168081543696133
BLX_sigma_0.01,0,14,1.0999439221005427
BLX_sigma_0.01,0,15,1.0191710585596623
BLX_sigma_0.01,0,16,0.9016451012027911
BLX_sigma_0.01,0,17,0.9016451012027911
BLX_sigma_0.01,0,18,0.9016451012027911
BLX_sigma_0.01,0,19,0.893091511036577
BLX_sigma_0.01,0,20,0.893091511036577
BLX_sigma_0.01,0,21,0.7444828873799829
BLX_sigma_0.01,0,22,0.7444828873799829
BLX_sigma_0.01,0,23,0.7444828873799829
BLX_sigma_0.01,0,24,0.7444828873799829
BLX_sigma_0.01,0,25,0.7444828873799829
BLX_sigma_0.01,0,26,0.6692010196460566
BLX_sigma_0.01,0,27,0.563031044153842
BLX_sigma_0.01,0,28,0.563031044153842
BLX_sigma_0.01,0,29,0.563031044153842
BLX_sigma_0.01,0,30,0.563031044153842
BLX_sigma_0.01,0,31,0.563031044153842
BLX_sigma_0.01,0,32,0.563031044153842
BLX_sigma_0.01,0,33,0.4671548946451909
BLX_sigma_0.01,0,34,0.4421118501991602
BLX_sigma_0.01,0,35,0.3706775074672788
BLX_sigma_0.01,0,36,0.2964444803121925
BLX_sigma_0.01,0,37,0.2964444803121925
BLX_sigma_0.01,0,38,0.2964444803121925
BLX_sigma_0.01,0,39,0.2656237253579371
BLX_sigma_0.01,0,40,0.2656237253579371
BLX_sigma_0.01,0,41,0.2656237253579371
