method,seed,best,evaluations,seconds
BLX_sigma_0.01,261400,0.03489048656151239,16128,0.03127298999999084
BLX_sigma_0.01,261401,0.024977027206174562,16128,0.021106219999978748
BLX_sigma_0.01,261402,0.042078231569795954,16128,0.019222468000009485
BLX_sigma_0.01,261403,0.007465520558089134,16128,0.020100559000013618
BLX_sigma_0.01,261404,0.07715710356131089,16128,0.019763311999952293
BLX_sigma_0.01,261405,0.037816782332947274,16128,0.019289388000004237
BLX_sigma_0.01,261406,0.10412536369196024,16128,0.019043419000013273
BLX_sigma_0.01,261407,0.010013439535427993,16128,0.020265796999979102
BLX_sigma_0.01,261408,0.0686433250066879,16128,0.019083769999951983
BLX_sigma_0.01,261409,0.046935674071425515,16128,0.02064669999998614
BLX_sigma_0.01,261410,0.05192465924507528,16128,0.019961870000031467
BLX_sigma_0.01,261411,0.046763522578608496,16128,0.018953242999998565
BLX_sigma_0.01,261412,0.020544008358126864,16128,0.018472049999957108
BLX_sigma_0.01,261413,0.037035500254127496,16128,0.026459692000003088
BLX_sigma_0.01,261414,0.04379992464925453,16128,0.02040835100001459
BLX_sigma_0.01,261415,0.03219580989115667,16128,0.023459950000017216
BLX_sigma_0.01,261416,0.01505248669989645,16128,0.020175972000004094
BLX_sigma_0.01,261417,0.01010412320231191,16128,0.019957503000000543
BLX_sigma_0.01,261418,0.0018354078235663929,16128,0.02022816999999577
BLX_sigma_0.01,261419,0.044243971665976045,16128,0.0212049689999958
BLX_sigma_0.05,261400,0.10019083135240858,16128,0.018579742000042643
BLX_sigma_0.05,261401,0.04188833758964117,16128,0.018468182999981764
BLX_sigma_0.05,261402,0.013439694259458013,16128,0.01951140299996723
BLX_sigma_0.05,261403,0.0678248625198109,16128,0.019225882999990063
BLX_sigma_0.05,261404,0.07062680810314115,16128,0.02295984900001713
BLX_sigma_0.05,261405,0.05920566676681038,16128,0.01798291400001517
BLX_sigma_0.05,261406,0.10353418728648844,16128,0.017952207999996972
BLX_sigma_0.05,261407,0.017266271192374005,16128,0.018436075000010987
BLX_sigma_0.05,261408,0.023557831267841278,16128,0.017985908000014206
BLX_sigma_0.05,261409,0.04155647756420766,16128,0.01811363999996729
BLX_sigma_0.05,261410,0.03451956990659222,16128,0.019282366000027196
BLX_sigma_0.05,261411,0.019198972860089314,16128,0.019302973000037582
BLX_sigma_0.05,261412,0.04291932069375248,16128,0.02002841400002353
BLX_sigma_0.05,261413,0.0341164413514099,16128,0.0186935670000139
BLX_sigma_0.05,261414,0.017925294157622562,16128,0.01917473999998265
BLX_sigma_0.05,261415,0.03168708024429545,16128,0.02050826499998948
BLX_sigma_0.05,261416,0.034799573513963455,16128,0.021627787999989323
BLX_sigma_0.05,261417,0.012314942199760037,16128,0.01783728000003748
BLX_sigma_0.05,261418,0.00430955612679218,16128,0.017302073999985623
BLX_sigma_0.05,261419,0.048524141661567155,16128,0.01734084200001007
random,261400,14.450555606612387,16128,0.006473944000049414
random,261401,45.37649548813179,16128,0.006426984000029279
random,261402,28.99582515778653,16128,0.006457279000017024
random,261403,37.9702594454787,16128,0.006414144000018496
random,261404,35.21064940065548,16128,0.006418520000011085
random,261405,58.44262284921155,16128,0.006396366999979364
random,261406,31.993437103788793,16128,0.006384339000021555
random,261407,45.0867736393296,16128,0.00644603199998528
random,261408,37.49309179212155,16128,0.006393081999988226
random,261409,35.16425424712623,16128,0.00642514100002245
random,261410,47.80922556220765,16128,0.006477438999979768
random,261411,39.76178724139391,16128,0.006382716000018718
random,261412,47.38037749279916,16128,0.0063898180000023785
random,261413,34.12217086214109,16128,0.006387953999990259
random,261414,39.117567046120875,16128,0.006421624999973119
random,261415,36.59873425438694,16128,0.006384830000001784
random,261416,40.536242776295865,16128,0.006439381999996385
random,261417,24.999437328033107,16128,0.006386862999988807
random,261418,43.57986566478411,16128,0.007563000999994074
random,261419,36.051665794049924,16128,0.006482096000013371
